Conference,Team,Week 0 (August 23),Week 1 (Aug 28-Sept 1),Week 2 (Sept 5-6),Week 3 (Sept 11-13),Week 4 (Sept 18-20),Week 5 (Sept 25-27),Week 6 (Oct 2-4),Week 7 (Oct 8-11),Week 8 (Oct 14-18),Week 9 (Oct 21-25),Week 10 (Oct 28-Nov 1),Week 11 (Nov 4-8),Week 12 (Nov 11-15),Week 13 (Nov 18-22),Week 14 (Nov 25-29),Week 15 (Dec 5-6),Week 16 (Dec 13),Playoffs,
Big Ten,Michigan,BYE,New Mexico,@ Oklahoma,Central Michigan,@ Nebraska,BYE,Wisconsin,@ USC,Washington,@ Michigan State,Purdue,BYE,@ Northwestern,@ Maryland,Ohio State,,,,
Big Ten,Michigan State,BYE,Western Michigan,Boston College,Youngstown State,@ USC,BYE,@ Nebraska,UCLA,@ Indiana,Michigan,@ Minnesota,BYE,Penn State,@ Iowa,vs Maryland,,,,
Big Ten,Minnesota,BYE,Buffalo,Northwestern State,@ Cal,BYE,Rutgers,@ Ohio State,Purdue,Nebraska,@ Iowa,Michigan State,BYE,@ Oregon,@ Northwestern,Wisconsin,,,,
Big Ten,Nebraska,BYE,vs Cincinnati,Akron,Houston Christian,Michigan,BYE,Michigan State,@ Maryland,@ Minnesota,Northwestern,USC,@ UCLA,BYE,@ Penn State,Iowa,,,,
Big Ten,Northwestern,BYE,@ Tulane,Western Illinois,Oregon,BYE,UCLA,Louisiana Monroe,@ Penn State,Purdue,@ Nebraska,BYE,@ USC,Michigan,Minnesota,@ Illinois,,,,
Big Ten,Ohio State,BYE,Texas,Grambling State,Ohio,BYE,@ Washington,Minnesota,@ Illinois,@ Wisconsin,BYE,Penn State,@ Purdue,UCLA,Rutgers,@ Michigan,,,,
Big Ten,Oregon,BYE,Montana State,Oklahoma State,@ Northwestern,Oregon State,@ Penn State,BYE,Indiana,@ Rutgers,Wisconsin,BYE,@ Iowa,Minnesota,USC,@ Washington,,,,
Big Ten,Penn State,BYE,Nevada,Florida International,Villanova,BYE,Oregon,@ UCLA,Northwestern,@ Iowa,BYE,@ Ohio State,Indiana,@ Michigan State,Nebraska,@ Rutgers,,,,
Big Ten,Purdue,BYE,Ball State,Southern Illinois,USC,@ Notre Dame,BYE,Illinois,@ Minnesota,@ Northwestern,Rutgers,@ Michigan,Ohio State,@ Washington,BYE,Indiana,,,,
Big Ten,Rutgers,BYE,Ohio,Miami (OH),Norfolk State,Iowa,@ Minnesota,BYE,@ Washington,Oregon,@ Purdue,@ Illinois,Maryland,BYE,@ Ohio State,Penn State,,,,
Big Ten,UCLA,BYE,Utah,@ UNLV,New Mexico,BYE,@ Northwestern,Penn State,@ Michigan State,Maryland,@ Indiana,BYE,Nebraska,@ Ohio State,Washington,@ USC,,,,
Big Ten,USC,BYE,Missouri State,Georgia Southern,@ Purdue,Michigan State,@ Illinois,BYE,Michigan,@ Notre Dame,BYE,@ Nebraska,Northwestern,Iowa,@ Oregon,UCLA,,,,
Big Ten,Washington,BYE,Colorado State,UC Davis,BYE,@ Washington State,Ohio State,@ Maryland,Rutgers,@ Michigan,Illinois,BYE,@ Wisconsin,Purdue,@ UCLA,Oregon,,,,
Big Ten,Wisconsin,BYE,Miami (OH),Middle Tennessee,@ Alabama,Maryland,BYE,@ Michigan,Iowa,Ohio State,@ Oregon,BYE,Washington,@ Indiana,Illinois,@ Minnesota,,,,
SEC,Alabama,BYE,@ Florida State,Louisiana Monroe,Wisconsin,BYE,@ Georgia,Vanderbilt,@ Missouri,Tennessee,@ South Carolina,BYE,LSU,Oklahoma,Eastern Illinois,@ Auburn,"SEC Championship Game          4pm ET ABC               Atlanta, GA",,,
SEC,Arkansas,BYE,Alabama A&M,Arkansas State,@ Ole Miss,@ Memphis,Notre Dame,BYE,@ Tennessee,Texas A&M,Auburn,Mississippi State,BYE,@ LSU,@ Texas,Missouri,,,,
SEC,Auburn,BYE,@ Baylor,Ball State,South Alabama,@ Oklahoma,@ Texas A&M,BYE,Georgia,Missouri,@ Arkansas,Kentucky,@ Vanderbilt,BYE,Mercer,Alabama,,,,
